Year,Activity,Amount
2007,Total,77464
2007,Mining,261
2007,Manufacturing Industry,16441
2007,"Electricity, Gas, Steam and Air Conditioning Supply",133
2007,Waterworks,636
2007,Construction,5823
2007,"Wholesale and Retail Trade, Repair of Vehicles",34205
2007,"Transport, Traffic and Storage",4342
2007,Accommodation and Catering Services,1666
2007,Information and Communications,3352
2007,Real Estate Business,457
2007,"Professional, Scientific and Technical Activities",7796
2007,Administrative and Support Services,2352
2008,Total,82280
2008,Mining,283
2008,Manufacturing Industry,16991
2008,"Electricity, Gas, Steam and Air Conditioning Supply",149
2008,Waterworks,673
2008,Construction,6719
2008,"Wholesale and Retail Trade, Repair of Vehicles",35243
2008,"Transport, Traffic and Storage",4608
2008,Accommodation and Catering Services,1911
2008,Information and Communications,3577
2008,Real Estate Business,597
2008,"Professional, Scientific and Technical Activities",8965
2008,Administrative and Support Services,2564
2009,Total,82355
2009,Mining,294
2009,Manufacturing Industry,17145
2009,"Electricity, Gas, Steam and Air Conditioning Supply",199
2009,Waterworks,680
2009,Construction,6838
2009,"Wholesale and Retail Trade, Repair of Vehicles",34385
2009,"Transport, Traffic and Storage",4586
2009,Accommodation and Catering Services,2070
2009,Information and Communications,3607
2009,Real Estate Business,604
2009,"Professional, Scientific and Technical Activities",9316
2009,Administrative and Support Services,2631
2010,Total,83787
2010,Mining,313
2010,Manufacturing Industry,17282
2010,"Electricity, Gas, Steam and Air Conditioning Supply",311
2010,Waterworks,714
2010,Construction,7142
2010,"Wholesale and Retail Trade, Repair of Vehicles",33860
2010,"Transport, Traffic and Storage",4744
2010,Accommodation and Catering Services,2254
2010,Information and Communications,3760
2010,Real Estate Business,710
2010,"Professional, Scientific and Technical Activities",10007
2010,Administrative and Support Services,2690
2011,Total,84690
2011,Mining,306
2011,Manufacturing Industry,17199
2011,"Electricity, Gas, Steam and Air Conditioning Supply",427
2011,Waterworks,795
2011,Construction,7280
2011,"Wholesale and Retail Trade, Repair of Vehicles",33270
2011,"Transport, Traffic and Storage",4901
2011,Accommodation and Catering Services,2480
2011,Information and Communications,3924
2011,Real Estate Business,780
2011,"Professional, Scientific and Technical Activities",10541
2011,Administrative and Support Services,2787
2012,Total,84921
2012,Mining,314
2012,Manufacturing Industry,16972
2012,"Electricity, Gas, Steam and Air Conditioning Supply",567
2012,Waterworks,834
2012,Construction,7378
2012,"Wholesale and Retail Trade, Repair of Vehicles",32752
2012,"Transport, Traffic and Storage",4938
2012,Accommodation and Catering Services,2601
2012,Information and Communications,4064
2012,Real Estate Business,837
2012,"Professional, Scientific and Technical Activities",10797
2012,Administrative and Support Services,2867
2013,Total,87529
2013,Mining,320
2013,Manufacturing Industry,17102
2013,"Electricity, Gas, Steam and Air Conditioning Supply",687
2013,Waterworks,883
2013,Construction,7526
2013,"Wholesale and Retail Trade, Repair of Vehicles",33554
2013,"Transport, Traffic and Storage",5131
2013,Accommodation and Catering Services,2856
2013,Information and Communications,4244
2013,Real Estate Business,930
2013,"Professional, Scientific and Technical Activities",11280
2013,Administrative and Support Services,3016
2014,Total,86996
2014,Mining,325
2014,Manufacturing Industry,16724
2014,"Electricity, Gas, Steam and Air Conditioning Supply",715
2014,Waterworks,885
2014,Construction,7431
2014,"Wholesale and Retail Trade, Repair of Vehicles",33115
2014,"Transport, Traffic and Storage",5178
2014,Accommodation and Catering Services,3031
2014,Information and Communications,4260
2014,Real Estate Business,1000
2014,"Professional, Scientific and Technical Activities",11239
2014,Administrative and Support Services,3093
2015,Total,86138
2015,Mining,320
2015,Manufacturing Industry,16391
2015,"Electricity, Gas, Steam and Air Conditioning Supply",761
2015,Waterworks,864
2015,Construction,7293
2015,"Wholesale and Retail Trade, Repair of Vehicles",32196
2015,"Transport, Traffic and Storage",5232
2015,Accommodation and Catering Services,3123
2015,Information and Communications,4336
2015,Real Estate Business,1043
2015,"Professional, Scientific and Technical Activities",11416
2015,Administrative and Support Services,3163
2016,Total,90421
2016,Mining,349
2016,Manufacturing Industry,16978
2016,"Electricity, Gas, Steam and Air Conditioning Supply",801
2016,Waterworks,887
2016,Construction,7622
2016,"Wholesale and Retail Trade, Repair of Vehicles",33175
2016,"Transport, Traffic and Storage",5949
2016,Accommodation and Catering Services,3440
2016,Information and Communications,4664
2016,Real Estate Business,1170
2016,"Professional, Scientific and Technical Activities",11993
2016,Administrative and Support Services,3393
2017,Total,85546
2017,Mining,321
2017,Manufacturing Industry,15797
2017,"Electricity, Gas, Steam and Air Conditioning Supply",736
2017,Waterworks,824
2017,Construction,7281
2017,"Wholesale and Retail Trade, Repair of Vehicles",30190
2017,"Transport, Traffic and Storage",5754
2017,Accommodation and Catering Services,3284
2017,Information and Communications,4615
2017,Real Estate Business,1276
2017,"Professional, Scientific and Technical Activities",11669
2017,Administrative and Support Services,3340
2017,Other Services,459
2018,Total,87407
2018,Mining,315
2018,Manufacturing Industry,15831
2018,"Electricity, Gas, Steam and Air Conditioning Supply",781
2018,Waterworks,800
2018,Construction,7562
2018,"Wholesale and Retail Trade, Repair of Vehicles",30591
2018,"Transport, Traffic and Storage",5942
2018,Accommodation and Catering Services,3414
2018,Information and Communications,4935
2018,Real Estate Business,1403
2018,"Professional, Scientific and Technical Activities",11976
2018,Administrative and Support Services,3390
2018,Other Services,467
