Investition,Year,Amount(mRSD)
Total,1995,201146.060392056
Buildings and Other Construction Work,1995,165573.842406738
Apartment Buildings,1995,52491.122623985706
Non-apartment Buildings and Other Construction Work,1995,112072.941152989
"Machiner, Euipment and Military Equipment",1995,40326.6838389486
Cultivated Biological Resources,1995,5232.22272256462
Intellectual Property,1995,17999.4379390541
Total,1996,222131.899583721
Buildings and Other Construction Work,1996,169407.180866037
Apartment Buildings,1996,52790.529503392594
Non-apartment Buildings and Other Construction Work,1996,116057.06867911301
"Machiner, Euipment and Military Equipment",1996,53055.229761321396
Cultivated Biological Resources,1996,4528.19425265045
Intellectual Property,1996,17752.7041888061
Total,1997,273178.13143084303
Buildings and Other Construction Work,1997,176806.433943406
Apartment Buildings,1997,60196.2549559198
Non-apartment Buildings and Other Construction Work,1997,113787.887032145
"Machiner, Euipment and Military Equipment",1997,85140.6016485022
Cultivated Biological Resources,1997,4796.93195641228
Intellectual Property,1997,20749.1561847932
Total,1998,283137.16935651604
Buildings and Other Construction Work,1998,191751.25845493897
Apartment Buildings,1998,63626.8368888466
Non-apartment Buildings and Other Construction Work,1998,125791.068260651
"Machiner, Euipment and Military Equipment",1998,80615.8134969144
Cultivated Biological Resources,1998,5873.0235599414
Intellectual Property,1998,23450.4646894277
Total,1999,233319.046454741
Buildings and Other Construction Work,1999,154396.258759171
Apartment Buildings,1999,59508.5804464211
Non-apartment Buildings and Other Construction Work,1999,89206.0176763399
"Machiner, Euipment and Military Equipment",1999,65908.05280118
Cultivated Biological Resources,1999,5515.12652990136
Intellectual Property,1999,22254.298987345697
Total,2000,244866.030371931
Buildings and Other Construction Work,2000,159105.999783159
Apartment Buildings,2000,53762.5675616964
Non-apartment Buildings and Other Construction Work,2000,102942.384838192
"Machiner, Euipment and Military Equipment",2000,70584.8906739887
Cultivated Biological Resources,2000,4230.8907220599
Intellectual Property,2000,25375.7791986013
Total,2001,255891.70566533398
Buildings and Other Construction Work,2001,176266.747282187
Apartment Buildings,2001,53218.6683015167
Non-apartment Buildings and Other Construction Work,2001,122503.436907332
"Machiner, Euipment and Military Equipment",2001,68094.4172704233
Cultivated Biological Resources,2001,4343.21889202013
Intellectual Property,2001,26113.1537148962
Total,2002,331864.232859643
Buildings and Other Construction Work,2002,223436.621894996
Apartment Buildings,2002,62973.4633969934
Non-apartment Buildings and Other Construction Work,2002,160657.257176348
"Machiner, Euipment and Military Equipment",2002,96136.1832866656
Cultivated Biological Resources,2002,5399.46468718728
Intellectual Property,2002,26706.3009676264
Total,2003,402816.057847329
Buildings and Other Construction Work,2003,242284.15899465198
Apartment Buildings,2003,76002.0256002605
Non-apartment Buildings and Other Construction Work,2003,166039.04719603
"Machiner, Euipment and Military Equipment",2003,139904.906278613
Cultivated Biological Resources,2003,5993.25294421878
Intellectual Property,2003,28056.2367822419
Total,2004,479293.186331927
Buildings and Other Construction Work,2004,253402.88424107
Apartment Buildings,2004,81356.15170475679
Non-apartment Buildings and Other Construction Work,2004,171763.795813108
"Machiner, Euipment and Military Equipment",2004,196314.443737982
Cultivated Biological Resources,2004,6098.90074472869
Intellectual Property,2004,30589.065572273197
Total,2005,506020.812681134
Buildings and Other Construction Work,2005,276033.747769247
Apartment Buildings,2005,86023.57099319
Non-apartment Buildings and Other Construction Work,2005,189737.118927765
"Machiner, Euipment and Military Equipment",2005,195103.24612591302
Cultivated Biological Resources,2005,7662.73177357104
Intellectual Property,2005,36574.5052895356
Total,2006,584732.58275311
Buildings and Other Construction Work,2006,301710.24819486396
Apartment Buildings,2006,80941.0796503343
Non-apartment Buildings and Other Construction Work,2006,220631.28318560898
"Machiner, Euipment and Military Equipment",2006,235175.72676887602
Cultivated Biological Resources,2006,8395.01601262322
Intellectual Property,2006,46564.3196261628
Total,2007,733811.085914366
Buildings and Other Construction Work,2007,329223.24965907104
Apartment Buildings,2007,76368.3048355823
Non-apartment Buildings and Other Construction Work,2007,252829.149228396
"Machiner, Euipment and Military Equipment",2007,342879.133179765
Cultivated Biological Resources,2007,6817.15341089635
Intellectual Property,2007,57912.2442659931
Total,2008,793188.957388461
Buildings and Other Construction Work,2008,331922.00293816
Apartment Buildings,2008,71848.5486508022
Non-apartment Buildings and Other Construction Work,2008,260069.082693456
"Machiner, Euipment and Military Equipment",2008,390434.28032698703
Cultivated Biological Resources,2008,5491.147520321721
Intellectual Property,2008,68756.2248822557
Total,2009,614532.055783096
Buildings and Other Construction Work,2009,291900.93948655896
Apartment Buildings,2009,68867.49033171679
Non-apartment Buildings and Other Construction Work,2009,223037.23936149
"Machiner, Euipment and Military Equipment",2009,260508.41218922898
Cultivated Biological Resources,2009,4320.97353851635
Intellectual Property,2009,57752.461166106696
Total,2010,574556.454277894
Buildings and Other Construction Work,2010,269995.64875205397
Apartment Buildings,2010,61806.163598652594
Non-apartment Buildings and Other Construction Work,2010,208189.485153401
"Machiner, Euipment and Military Equipment",2010,242731.763448006
Cultivated Biological Resources,2010,4764.86262487195
Intellectual Property,2010,57064.1794529632
Total,2011,601372.5407275871
Buildings and Other Construction Work,2011,286784.048842365
Apartment Buildings,2011,57014.221543993204
Non-apartment Buildings and Other Construction Work,2011,229769.827298372
"Machiner, Euipment and Military Equipment",2011,246614.181717924
Cultivated Biological Resources,2011,5975.583465168879
Intellectual Property,2011,61998.72670212889
Total,2012,685042.149740976
Buildings and Other Construction Work,2012,284748.168535105
Apartment Buildings,2012,55461.8552278242
Non-apartment Buildings and Other Construction Work,2012,229287.050494711
"Machiner, Euipment and Military Equipment",2012,328219.83117679897
Cultivated Biological Resources,2012,6694.87473197978
Intellectual Property,2012,66624.23495061981
Total,2013,603145.671117598
Buildings and Other Construction Work,2013,225254.579870177
Apartment Buildings,2013,41316.451329572796
Non-apartment Buildings and Other Construction Work,2013,183940.299594095
"Machiner, Euipment and Military Equipment",2013,300838.689765502
Cultivated Biological Resources,2013,5860.4055867346
Intellectual Property,2013,72429.6441549347
Total,2014,582373.607561008
Buildings and Other Construction Work,2014,219453.86221651
Apartment Buildings,2014,33029.3452201424
Non-apartment Buildings and Other Construction Work,2014,186428.094634161
"Machiner, Euipment and Military Equipment",2014,287907.286412433
Cultivated Biological Resources,2014,7064.9744311359
Intellectual Property,2014,68601.51855387179
Total,2015,610707.8420245739
Buildings and Other Construction Work,2015,222898.09756791897
Apartment Buildings,2015,33118.6350240944
Non-apartment Buildings and Other Construction Work,2015,189783.19794330897
"Machiner, Euipment and Military Equipment",2015,294894.04969838896
Cultivated Biological Resources,2015,7351.1792356507995
Intellectual Property,2015,85582.17239126361
Total,2016,643733.063237365
Buildings and Other Construction Work,2016,240349.063175987
Apartment Buildings,2016,39472.8664221016
Non-apartment Buildings and Other Construction Work,2016,200879.37615434802
"Machiner, Euipment and Military Equipment",2016,316842.674303331
Cultivated Biological Resources,2016,8041.20761248067
Intellectual Property,2016,79379.5626035787
Total,2017,691003.1883821071
Buildings and Other Construction Work,2017,261857.697183256
Apartment Buildings,2017,48263.377083182
Non-apartment Buildings and Other Construction Work,2017,213598.20684862
"Machiner, Euipment and Military Equipment",2017,341587.354024878
Cultivated Biological Resources,2017,8155.71789050933
Intellectual Property,2017,80756.9041211958
Total,2018,814221.778701701
Buildings and Other Construction Work,2018,307060.73954477103
Apartment Buildings,2018,53214.276815795194
Non-apartment Buildings and Other Construction Work,2018,253852.46008700802
"Machiner, Euipment and Military Equipment",2018,404889.207573466
Cultivated Biological Resources,2018,9530.45829271552
Intellectual Property,2018,94642.95997453289
