Year,Device,PctPresence
2006,Cable TV,30.2
2006,Laptop,1.5
2006,Mobile Phone,71.2
2006,PC,26.5
2006,TV,95.7
2007,Cable TV,33.8
2007,Laptop,3.8
2007,Mobile Phone,73.6
2007,PC,34.0
2007,TV,97.8
2008,Cable TV,40.5
2008,Laptop,5.8
2008,Mobile Phone,74.5
2008,PC,40.8
2008,TV,98.4
2009,Cable TV,41.9
2009,Laptop,9.3
2009,Mobile Phone,80.1
2009,PC,46.8
2009,TV,98.6
2010,Cable TV,42.6
2010,Laptop,11.2
2010,Mobile Phone,82.0
2010,PC,50.4
2010,TV,98.7
2011,Cable TV,44.4
2011,Laptop,15.5
2011,Mobile Phone,82.5
2011,PC,52.1
2011,TV,98.9
2012,Cable TV,44.5
2012,Laptop,21.4
2012,Mobile Phone,83.9
2012,PC,55.2
2012,TV,98.2
2013,Cable TV,47.6
2013,Laptop,31.6
2013,Mobile Phone,86.9
2013,PC,59.9
2013,TV,98.2
2014,Cable TV,49.8
2014,Laptop,38.7
2014,Mobile Phone,90.6
2014,PC,63.2
2014,TV,99.0
2015,Cable TV,53.6
2015,Laptop,39.0
2015,Mobile Phone,90.3
2015,PC,64.4
2015,TV,99.3
2016,Cable TV,57.3
2016,Laptop,39.2
2016,Mobile Phone,90.2
2016,PC,65.8
2016,TV,97.8
2017,Cable TV,58.4
2017,Laptop,43.7
2017,Mobile Phone,90.5
2017,PC,68.1
2017,TV,99.6
2018,Cable TV,0.0
2018,Laptop,47.6
2018,Mobile Phone,93.0
2018,PC,72.1
2018,TV,99.1
2019,Cable TV,0.0
2019,Laptop,49.0
2019,Mobile Phone,93.7
2019,PC,73.1
2019,TV,97.9
