Gender,Year,Region,Amount
Total,2012,State,0.0
M,2012,State,0.0
F,2012,State,0.0
Total,2012,Belgrade,7278.0
M,2012,Belgrade,2735.0
F,2012,Belgrade,4543.0
Total,2012,Voyvodina/North,-52.0
M,2012,Voyvodina/North,242.0
F,2012,Voyvodina/North,-294.0
Total,2012,Central and West,-4135.0
M,2012,Central and West,-1769.0
F,2012,Central and West,-2366.0
Total,2012,South and East,-3091.0
M,2012,South and East,-1208.0
F,2012,South and East,-1883.0
Total,2013,State,0.0
M,2013,State,0.0
F,2013,State,0.0
Total,2013,Belgrade,8020.0
M,2013,Belgrade,3055.0
F,2013,Belgrade,4965.0
Total,2013,Voyvodina/North,-658.0
M,2013,Voyvodina/North,-97.0
F,2013,Voyvodina/North,-561.0
Total,2013,Central and West,-4479.0
M,2013,Central and West,-1944.0
F,2013,Central and West,-2535.0
Total,2013,South and East,-2883.0
M,2013,South and East,-1014.0
F,2013,South and East,-1869.0
Total,2014,State,0.0
M,2014,State,0.0
F,2014,State,0.0
Total,2014,Belgrade,7505.0
M,2014,Belgrade,3061.0
F,2014,Belgrade,4444.0
Total,2014,Voyvodina/North,-419.0
M,2014,Voyvodina/North,2.0
F,2014,Voyvodina/North,-421.0
Total,2014,Central and West,-4217.0
M,2014,Central and West,-1889.0
F,2014,Central and West,-2328.0
Total,2014,South and East,-2869.0
M,2014,South and East,-1174.0
F,2014,South and East,-1695.0
Total,2015,State,0.0
M,2015,State,0.0
F,2015,State,0.0
Total,2015,Belgrade,7309.0
M,2015,Belgrade,2914.0
F,2015,Belgrade,4395.0
Total,2015,Voyvodina/North,49.0
M,2015,Voyvodina/North,195.0
F,2015,Voyvodina/North,-146.0
Total,2015,Central and West,-4305.0
M,2015,Central and West,-1858.0
F,2015,Central and West,-2447.0
Total,2015,South and East,-3053.0
M,2015,South and East,-1251.0
F,2015,South and East,-1802.0
Total,2016,State,0.0
M,2016,State,0.0
F,2016,State,0.0
Total,2016,Belgrade,6504.0
M,2016,Belgrade,2413.0
F,2016,Belgrade,4091.0
Total,2016,Voyvodina/North,-158.0
M,2016,Voyvodina/North,235.0
F,2016,Voyvodina/North,-393.0
Total,2016,Central and West,-3476.0
M,2016,Central and West,-1538.0
F,2016,Central and West,-1938.0
Total,2016,South and East,-2870.0
M,2016,South and East,-1110.0
F,2016,South and East,-1760.0
Total,2017,State,0.0
M,2017,State,0.0
F,2017,State,0.0
Total,2017,Belgrade,6437.0
M,2017,Belgrade,2592.0
F,2017,Belgrade,3845.0
Total,2017,Voyvodina/North,670.0
M,2017,Voyvodina/North,512.0
F,2017,Voyvodina/North,158.0
Total,2017,Central and West,-4087.0
M,2017,Central and West,-1886.0
F,2017,Central and West,-2201.0
Total,2017,South and East,-3020.0
M,2017,South and East,-1218.0
F,2017,South and East,-1802.0
Total,2018,State,0.0
M,2018,State,0.0
F,2018,State,0.0
Total,2018,Belgrade,6978.0
M,2018,Belgrade,2918.0
F,2018,Belgrade,4060.0
Total,2018,Voyvodina/North,308.0
M,2018,Voyvodina/North,302.0
F,2018,Voyvodina/North,6.0
Total,2018,Central and West,-4050.0
M,2018,Central and West,-1752.0
F,2018,Central and West,-2298.0
Total,2018,South and East,-3236.0
M,2018,South and East,-1468.0
F,2018,South and East,-1768.0
