Year,FreqChoice,PctPresence
2006,< 3 Months,23.9
2006,> 1 Year,4.4
2006,"> 3 Months, < 1 Year",3.3
2006,Never Used,68.4
2007,< 3 Months,29.9
2007,> 1 Year,1.5
2007,"> 3 Months, < 1 Year",3.3
2007,Never Used,65.4
2008,< 3 Months,35.6
2008,> 1 Year,2.4
2008,"> 3 Months, < 1 Year",2.8
2008,Never Used,59.2
2009,< 3 Months,38.1
2009,> 1 Year,1.9
2009,"> 3 Months, < 1 Year",3.6
2009,Never Used,56.4
2010,< 3 Months,40.9
2010,> 1 Year,2.3
2010,"> 3 Months, < 1 Year",2.7
2010,Never Used,54.1
2011,< 3 Months,42.2
2011,> 1 Year,2.7
2011,"> 3 Months, < 1 Year",2.2
2011,Never Used,53.0
2012,< 3 Months,48.4
2012,> 1 Year,1.6
2012,"> 3 Months, < 1 Year",1.6
2012,Never Used,48.4
2013,< 3 Months,53.5
2013,> 1 Year,2.3
2013,"> 3 Months, < 1 Year",2.7
2013,Never Used,41.5
2014,< 3 Months,62.1
2014,> 1 Year,2.9
2014,"> 3 Months, < 1 Year",1.9
2014,Never Used,33.1
2015,< 3 Months,65.3
2015,> 1 Year,3.1
2015,"> 3 Months, < 1 Year",1.0
2015,Never Used,30.6
2016,< 3 Months,67.1
2016,> 1 Year,2.2
2016,"> 3 Months, < 1 Year",1.6
2016,Never Used,29.2
2017,< 3 Months,70.5
2017,> 1 Year,2.3
2017,"> 3 Months, < 1 Year",1.6
2017,Never Used,25.6
2018,< 3 Months,73.4
2018,> 1 Year,1.2
2018,"> 3 Months, < 1 Year",1.2
2018,Never Used,24.2
2019,< 3 Months,77.4
2019,> 1 Year,2.1
2019,"> 3 Months, < 1 Year",1.1
2019,Never Used,19.4
