FundSource,Region,Year,Amount(RSD)
Total Funds,State,2007,8124439.0
Funds from Budget,State,2007,6030921.0
Total Funds,Belgrade,2007,6571130.0
Funds from Budget,Belgrade,2007,4835627.0
Total Funds,Voyvodina/North,2007,1142014.0
Funds from Budget,Voyvodina/North,2007,816258.0
Total Funds,Central and West,2007,196062.0
Funds from Budget,Central and West,2007,170203.0
Total Funds,South and East,2007,215233.0
Funds from Budget,South and East,2007,208833.0
Total Funds,State,2008,10241247.0
Funds from Budget,State,2008,6191206.0
Total Funds,Belgrade,2008,7709628.0
Funds from Budget,Belgrade,2008,4660705.0
Total Funds,Voyvodina/North,2008,1354093.0
Funds from Budget,Voyvodina/North,2008,975429.0
Total Funds,Central and West,2008,477473.0
Funds from Budget,Central and West,2008,299405.0
Total Funds,South and East,2008,700053.0
Funds from Budget,South and East,2008,255667.0
Total Funds,State,2009,24944966.0
Funds from Budget,State,2009,15435496.0
Total Funds,Belgrade,2009,18109050.0
Funds from Budget,Belgrade,2009,11168856.0
Total Funds,Voyvodina/North,2009,4699820.0
Funds from Budget,Voyvodina/North,2009,3214838.0
Total Funds,Central and West,2009,1137281.0
Funds from Budget,Central and West,2009,683736.0
Total Funds,South and East,2009,998815.0
Funds from Budget,South and East,2009,368066.0
Total Funds,State,2010,22828236.0
Funds from Budget,State,2010,13272750.0
Total Funds,Belgrade,2010,16749741.0
Funds from Budget,Belgrade,2010,8969300.0
Total Funds,Voyvodina/North,2010,4273223.0
Funds from Budget,Voyvodina/North,2010,3153347.0
Total Funds,Central and West,2010,1048640.0
Funds from Budget,Central and West,2010,636784.0
Total Funds,South and East,2010,756632.0
Funds from Budget,South and East,2010,513319.0
Total Funds,State,2011,24683992.0
Funds from Budget,State,2011,15185376.0
Total Funds,Belgrade,2011,17850962.0
Funds from Budget,Belgrade,2011,10445261.0
Total Funds,Voyvodina/North,2011,4723559.0
Funds from Budget,Voyvodina/North,2011,3304926.0
Total Funds,Central and West,2011,235061.0
Funds from Budget,Central and West,2011,92469.0
Total Funds,South and East,2011,975125.0
Funds from Budget,South and East,2011,653872.0
Total Funds,State,2012,32505764.0
Funds from Budget,State,2012,16215130.0
Total Funds,Belgrade,2012,24476495.0
Funds from Budget,Belgrade,2012,10718358.0
Total Funds,Voyvodina/North,2012,5864054.0
Funds from Budget,Voyvodina/North,2012,4029271.0
Total Funds,Central and West,2012,1024805.0
Funds from Budget,Central and West,2012,798990.0
Total Funds,South and East,2012,1140410.0
Funds from Budget,South and East,2012,668511.0
Total Funds,State,2013,28175329.0
Funds from Budget,State,2013,16305139.0
Total Funds,Belgrade,2013,19825520.0
Funds from Budget,Belgrade,2013,11187843.0
Total Funds,Voyvodina/North,2013,6170162.0
Funds from Budget,Voyvodina/North,2013,3638464.0
Total Funds,Central and West,2013,897307.0
Funds from Budget,Central and West,2013,736393.0
Total Funds,South and East,2013,1282340.0
Funds from Budget,South and East,2013,742439.0
Total Funds,State,2014,30084387.0
Funds from Budget,State,2014,16823689.0
Total Funds,Belgrade,2014,20653628.0
Funds from Budget,Belgrade,2014,11594528.0
Total Funds,Voyvodina/North,2014,7228402.0
Funds from Budget,Voyvodina/North,2014,3808606.0
Total Funds,Central and West,2014,920201.0
Funds from Budget,Central and West,2014,756859.0
Total Funds,South and East,2014,1282156.0
Funds from Budget,South and East,2014,663696.0
Total Funds,State,2015,34990573.0
Funds from Budget,State,2015,17610434.0
Total Funds,Belgrade,2015,24112725.0
Funds from Budget,Belgrade,2015,0.0
Total Funds,Voyvodina/North,2015,8213703.0
Funds from Budget,Voyvodina/North,2015,0.0
Total Funds,Central and West,2015,1269158.0
Funds from Budget,Central and West,2015,0.0
Total Funds,South and East,2015,1394987.0
Funds from Budget,South and East,2015,0.0
Total Funds,State,2016,37956275.0
Funds from Budget,State,2016,16312531.0
Total Funds,Belgrade,2016,24397360.0
Funds from Budget,Belgrade,2016,0.0
Total Funds,Voyvodina/North,2016,10934838.0
Funds from Budget,Voyvodina/North,2016,0.0
Total Funds,Central and West,2016,1140112.0
Funds from Budget,Central and West,2016,0.0
Total Funds,South and East,2016,1483965.0
Funds from Budget,South and East,2016,0.0
Total Funds,State,2017,41531049.0
Funds from Budget,State,2017,17899912.0
Total Funds,State,2018,46615667.0
Funds from Budget,State,2018,18754517.0
